기준년월,연령대,시도명,서적문구 평균 소비금액,스포츠 평균 소비금액,영화공연 평균 소비금액,오락 평균 소비금액,총 저축 평균 잔액,총 대출 평균 잔액
202012,10대,강원,18206,30191,15639,13853,1361353,0
202012,10대,경기,19853,28918,15016,13953,1273547,0
202012,10대,경남,20811,32917,14141,13550,1473338,0
202012,10대,경북,20122,36901,15264,13448,1553230,0
202012,10대,광주,20722,34702,14414,12999,1420864,0
202012,10대,대구,20720,43966,15200,13542,1107556,0
202012,10대,대전,19803,29004,14255,12958,1458778,0
202012,10대,부산,22156,41320,15664,11137,1073485,0
202012,10대,서울,20818,42684,15358,14442,1646917,0
202012,10대,세종,19686,36724,13390,10918,1433544,0
202012,10대,울산,20646,38876,14574,13650,1106862,0
202012,10대,인천,20925,32473,14619,12991,1044575,0
202012,10대,전남,20667,32078,14586,13650,1410205,0
202012,10대,전북,19193,28752,14475,12885,1261065,0
202012,10대,제주,18860,39228,15128,14235,1572646,0
202012,10대,충남,19137,31426,14312,13707,1337344,0
202012,10대,충북,18805,36611,14725,12994,1309366,0
202012,20대,강원,19351,45549,17425,18046,3047916,1187104
202012,20대,경기,20811,46964,16451,17362,2821578,3857595
202012,20대,경남,20736,48276,16861,17856,2569890,1342162
202012,20대,경북,20236,48540,17134,18309,2892659,1034503
202012,20대,광주,22037,52575,17574,18144,2721382,1386177
202012,20대,대구,23501,56965,16676,18275,2492582,1358092
202012,20대,대전,21052,44863,16662,17220,2483868,1762485
202012,20대,부산,21031,51394,16153,16552,2721896,3213854
202012,20대,서울,22726,56265,16756,17080,4063957,8828966
202012,20대,세종,20792,53103,15746,15650,4009414,2846945
202012,20대,울산,20193,49749,16151,17786,2517729,1071787
202012,20대,인천,22997,46688,16014,17068,2576352,3711915
202012,20대,전남,19943,51415,17526,18380,2751964,1157341
202012,20대,전북,20137,45837,16205,17333,2974422,1150310
202012,20대,제주,20853,56754,17997,19035,3281771,1292771
202012,20대,충남,20676,46725,16312,18040,2825530,1657066
202012,20대,충북,20211,50448,16885,16909,2843899,1218388
202012,30대,강원,21333,58695,17063,22159,7862776,8176358
202012,30대,경기,22960,56809,15490,20384,7721115,24421204
202012,30대,경남,22211,58582,14756,20686,6532194,7200554
202012,30대,경북,22433,62905,15330,23665,7031439,9025246
202012,30대,광주,24105,71307,15141,21514,6666125,13612427
202012,30대,대구,25487,67422,15753,22765,6822245,13867302
202012,30대,대전,23060,55582,14962,23190,5618965,7410886
202012,30대,부산,22888,64579,15039,19216,6410892,19852663
202012,30대,서울,24439,62510,15520,18968,13689966,52228715
202012,30대,세종,21990,53260,15279,22472,7800918,35035079
202012,30대,울산,22082,59909,15063,21263,6624218,6271104
202012,30대,인천,23625,53527,15313,19330,6410584,22383425
202012,30대,전남,22675,68363,16699,23929,7781408,7950313
202012,30대,전북,22835,61562,15986,21034,7574761,10352362
202012,30대,제주,23436,65212,17435,21217,7744290,15361358
202012,30대,충남,22368,56764,15659,22498,6963598,9843101
202012,30대,충북,22221,58738,15356,21837,7476416,7945761
202012,40대,강원,22479,63787,16464,23121,11296092,13242412
202012,40대,경기,25559,61572,14881,20484,10389775,31119745
202012,40대,경남,25757,65786,15900,22358,9778179,14504807
202012,40대,경북,24724,71676,15633,26684,10820407,12565691
202012,40대,광주,27240,81863,16772,21627,10172150,15121945
202012,40대,대구,28549,74766,15550,28055,9830855,22789041
202012,40대,대전,25421,58475,15384,23451,8636767,13924154
202012,40대,부산,26802,69407,14924,21888,8677090,24212659
202012,40대,서울,27496,65360,15726,20099,14091118,51541961
202012,40대,세종,24192,64246,15092,19798,14942616,43035400
202012,40대,울산,25572,63143,15743,22834,7296279,13301230
202012,40대,인천,26539,59754,16033,21292,8442605,27159833
202012,40대,전남,24636,73451,15315,25372,10121579,11277439
202012,40대,전북,25308,66610,14502,20809,8153823,13703512
202012,40대,제주,26206,81402,16172,22364,9075384,31642143
202012,40대,충남,24285,65097,15223,22756,8910784,13418634
202012,40대,충북,25260,59042,15234,23143,11190645,12850753
202012,50대,강원,22072,62998,16388,24224,15482363,17812047
202012,50대,경기,24857,63293,15487,21026,14212382,27368831
202012,50대,경남,24753,73495,15317,22916,13104116,15649216
202012,50대,경북,23760,78455,16093,27440,14937118,14254858
202012,50대,광주,27172,93743,16821,23765,15088700,15724785
