"관리번호",공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
26350-00001,APEC나루공원,근린공원,부산광역시 해운대구 수영강변대로 93,부산광역시 해운대구 우동 1494,35.16864139,129.1260362,99999.3,,,,,,2000-08-10,해운대구청 늘푸른과,,2020-12-15
26350-00002,가온공원,어린이공원,,부산광역시 해운대구 반여동 751-8,35.2112867,129.1169609,2002,,,,,,2006-12-27,해운대구청 늘푸른과,,2020-12-15
26350-00003,거미줄공원,어린이공원,,부산광역시 해운대구 좌동 1334,35.1656385,129.1791219,1804,,,,,,1992-08-06,해운대구청 늘푸른과,,2020-12-15
26350-00004,견우공원,어린이공원,,부산광역시 해운대구 좌동 1311,35.1716798,129.1800161,1798.8,,,,,,1992-08-06,해운대구청 늘푸른과,,2020-12-15
26350-00005,구덕포공원,소공원,,부산광역시 해운대구 송정동 산67-5,35.1733406,129.1978997,1015,,,,,,2006-02-15,해운대구청 늘푸른과,,2020-12-15
26350-00006,꽃다래공원,어린이공원,,부산광역시 해운대구 반송동 산51-120,35.2188983,129.1558462,24621,,,,,,2002-07-29,해운대구청 늘푸른과,,2020-12-15
26350-00007,꽃망울공원,어린이공원,,부산광역시 해운대구 반송동 891,35.2280754,129.1589861,1680.2,,,,,,1991-01-09,해운대구청 늘푸른과,,2020-12-15
26350-00008,꿈나무공원,어린이공원,,부산광역시 해운대구 좌동1336,35.1663624,129.1774472,1878.5,,,,,,1992-08-06,해운대구청 늘푸른과,,2020-12-15
26350-00009,꿈누리공원,어린이공원,,부산광역시 해운대구 반여동 295,35.2134348,129.1195584,1529,,,,,,2006-12-27,해운대구청 늘푸른과,,2020-12-15
26350-00010,꿈에공원,어린이공원,부산광역시 해운대구 재반로270번길 14,"부산광역시 해운대구 반여동 1601-1,2",35.2012157,129.1324491,659,,,,,,1987-09-30,해운대구청 늘푸른과,,2020-12-15
26350-00011,노을공원,어린이공원,,부산광역시 해운대구 반여동 1635,35.2021073,129.1235205,1901.1,,,,,,1999-03-06,해운대구청 늘푸른과,,2020-12-15
26350-00012,누림공원,어린이공원,,부산광역시 해운대구 좌동 1437-3,35.1729531,129.1843903,3760.3,,,,,,1992-08-06,해운대구청 늘푸른과,,2020-12-15
