지역,분류1,카테고리,숙박업소명,주소,좌표(x),좌표(y),전화번호,홈페이지Url,객실정보,상세내용,이미지1
천안,stay,관광호텔,천안센트럴관광호텔,충남 천안시 서북구 성정공원5로 64 센트럴호텔,36.827538,127.141055,041-564-9100,http://www.cheonanhotel.com/,"총 객실 60(스탠다드 24, 디럭스 12, 스위트 24)","천안센트럴관광호텔은 천안시 소재(관광1급) 호텔로서 비지니스 고객 및 tour 고객등 저희 호텔을 찾아주시는 
모든 분들께 최상의 서비스를 제공하고자 최선을 다하고 있습니다.
아늑하고 ""넓은 객실"" 다양한 "" 편의시설"" 세련된 서비스, 다양한 ""비즈니스시설""을 갖추고 있으며 
고객 여러분께 최고의 만족과 기쁨을 주도록 항상 노력하고 있습니다.

앞으로도 저희 모든 임직원 일동은 천안 최고의 관광호텔로서 거듭 태어나고자 더욱 최선의 노력을 다할것이며 다양한 서비스의 개선으로 고객여러분의 행복과 기쁨을 증대시키도록 노력해 나갈것을 약속드립니다. 

호텔을 직접 방문해 주시는 고객 뿐 아니라 인터넷 홈페이지를 방문해 주시는 한 분 한 분 역시 모두 
저희 천안센트럴관광호텔의 소중한 고객이라 생각하며 앞으로도 천안센트럴관광호텔은 전직원이 
하나가 되어 고객만족 1위의 호텔로 항상 고객 한 분 한 분께 최고의 만족과 감동을 드릴 수 있도록 최선을 다하겠으며 ""고객을 통하여 만들어지는 고객지향형 호텔"" 로의 이상적인 미래를 지향하면서 끊임없이 노력해 나아갈 것을 약속드리겠습니다.",1.jpg
천안,stay,관광호텔,천안메트로관광호텔,충남 천안시 동남구 대흥로 241-11,36.8105149,127.147932,041-622-8211~2,http://천안호텔.한국/ko/index.php,"총 객실 50(스탠다드 32, 디럭스 15, 스위트 3)","METRO HOTEL은 천안의 중심지인 천안역에 위치하여 천안호텔의 중심,
편리한 교통의 핵심이 되겠다는 의미의 METRO로 문을 열었습니다.
편리한 교통과 최고의 서비스로 비즈니스는 물론, 일반고객에 이르기까지 내집과 같은 편안함과 안락함을 드리기 위해 항상 시작할때의 마음가짐으로 고객의 작은 목소리 하나하나를 기억하는 METRO HOTEL이 되겠습니다.",
천안,stay,가족호텔,천안상록리조트 상록호텔,충남 천안시 수신면 수신로 576,36.7402961,127.288728,"041-560-9000, 9114",https://www.sangnokresort.co.kr/,"총 객실 100(특실 2, 양실 18, 가족실 28, 한실 52)","500명 이상 투숙 가능한 포근하고 아늑한 휴식처 상록호텔, 자연의 품 안에 안기는 편안함이 있습니다.상록호텔은 내 집 같은 편안함과 고객 한분 한분을 배려하는 세심한 서비스가 있는 휴식처로서 저렴한 가격으로 아늑한 객실과 함께
 최고의 서비스를 경험할 수 있는 시설입니다.",3.jpg
천안,stay,콘도/리조트,테딘패밀리리조트,충남 천안시 동남구 성남면 종합휴양지로 200,36.7569258,127.223646,041-906-7000,https://www.tedin.co.kr/,,"테딘패밀리리조트. 4만 6,000m²(14,100평) 규모의 리조트 안에 설계된 총면적 3만 3,058㎡(10,000평)의 초대형 워터파크는 중부권 최대 규모로 10종이 넘는 슬라이드 시설이 들어서 규모나 시설면에서 대한민국 어디와 비교해도 손색이 없다. 

또한 동화 속 주인공을 테딘으로 표현한 콘도미니엄의 캐릭터 컨셉룸은 기존 리조트에서는 찾아볼 수 없는 이색적 재미 요소를 선사한다.

휴러클 리조트의 워터파크는 자체 개발한 고급스러운 테딘인 ‘테딘패밀리’를 기본 컨셉으로 설계한 국내 최초 캐릭터 워터파크다. 로마, 스페인, 베니스 등 유럽의 7개 나라 유명 건축물과 유적지를 배경으로 워터파크 공간을 구성했다. 

스페인 타워(슬라이드 타워), 핀란드 산타마을(푸드코트), 밀려오는 파도와 함께하는 파도풀 무대, 이탈리아 베네치아(메인브릿지), 노르웨이 바이킹(MLPS), 그리스 산토리니 이아마을(아쿠아바), 이탈리아 로마 신전(노천탕)은 또 하나의 작은 유럽을 만난 듯한 즐거움을 안겨준다.

물놀이 시설로는 국내 최초 거대한 해일을 타는 듯 짜릿한 스릴을 느낄 수 있는 쓰나미 슬라이드, 튜브 옥토퍼스 레이서를 도입했다. 국내 최장 업힐 슬라이드 도입은 물론, 튜브 뒤로 몰아치는 거대한 파도로 아쿠아 여행을 즐기는 급류 유수풀(와일드익스트림리버)은 371m이라는 국내 최장 길이이다

백설공주, 피터팬, 헨젤과 그레텔이 된 테딘 이야기가 유럽풍 컨셉룸으로 펼쳐진다. 동화 속 나라로 걸어가는 듯한 착각이 드는 복도, 테딘패밀리 스토리룸, 5060 세대를 위한 테마룸 등 유쾌하고 신비한 캐릭터 컨셉룸은 가족,친구, 연인 등의 특별한 이벤트 장소로도 최고이다.
",4.jpg
천안,stay,콘도/리조트,천안상록리조트,충남 천안시 동남구 수신면 수신로 576,36.7402961,127.288728,"041-560-9000, 9114",https://www.sangnokresort.co.kr/,총 객실 251,"500명 이상 투숙 가능한 포근하고 아늑한 휴식처 상록호텔, 자연의 품 안에 안기는 편안함이 있습니다.상록호텔은 내 집 같은 편안함과 고객 한분 한분을 배려하는 세심한 서비스가 있는 휴식처로서 저렴한 가격으로 아늑한 객실과 함께
 최고의 서비스를 경험할 수 있는 시설입니다. ",5.jpg
천안,stay,굿스테이,쉘부르호텔,충남 천안시 서북구 봉정로 277 ,36.8266759,127.144466,041-561-3838,http://www.cherhotel.com/ko/,"스탠다드룸(7만원), 디럭스룸(8만원), VIP룸(9만원)","쉘부르 비즈니스 호텔은 충청남도 천안시 성정동에 위치한 지역 최고의 비즈니스 호텔입니다.
비즈니스 여행객을 위한 다양한 무료 서비스와 최신 설비로, 단기투숙은 물론 장기투숙시에도 아무 불편함 없이 이용하실 수 있습니다. 품격있는 서비스와 경제적인 가격, 우수한 입지조건을 바탕으로 방문 목적과 상관없이 최고의 만족감을 드립니다.",
천안,stay,굿스테이,E천안호텔,충남 천안시 서북구 양지21길 42,36.8124075,127.140248,041-592-0000,http://www.cheonanhotel.kr/,"스탠다드룸(12만원), 디럭스룸(17만원), VIP룸(23만원)","첨단산업단지와 최첨단 비즈니스 인프라를 갖춘 천안의 중심에 위치한 E천안호텔은 천안역에 근접하여 매우 편리한 교통과 최고의 시스템이 갖춰진 고품격 비즈니스 호텔입니다.

편안함을 선사할 안락하고, 세련된 객실과 연회장, 휘트니스센터, 커피숍, 비즈니스센터와 레스토랑 등의 부대시설을 갖추고 있는 E천안호텔은 비즈니스 고객을 위한 특성과 편의에 맞춘 시설 및 서비스, 그리고 합리적인 요금을 제공함으로써, 비즈니스 호텔의 가치를 창조하는데 최선을 다하고 있습니다.

특이함보다는 평범함에서 특별한 서비스를 찾아 E천안호텔만의 최상의 서비스를 창조하고, 고객님께 내 집 같은 편안함을 느낄수 있도록 새로운 휴식문화를 열어가겠습니다.",7.jpg
천안,stay,굿스테이,렉스호텔,충남 천안시 서북구 양지8길 10-4,36.8106959,127.139752,041-578-7617,http://www.rexhotel.co.kr/,"싱글(6만원), 스탠다드(7만원), 디럭스(8만원), 트윈(10만원)","렉스호텔은 천안 서부역 방향으로 도보 5분에 위치한 저희 렉스호텔은 비즈니스 장,단기 손님들과 가족, 여행고객분들이 많이 이용하는 모던하고, 편안함을 추구하는 호텔입니다. 

호텔에 투숙하시는 고객님들의 만족과 감동을 드릴 수 있는 최상의 서비스를 제공하도록 렉스호텔의 전 직원들은 최선을 다하겠습니다.",
공주,stay,관광호텔,금강관광호텔,충남 공주시 전막2길 16-11,36.4704207,127.131033,041-852-1071,http://www.hotel-kumkang.com/,"총 객실 48(스탠다드 17, 디럭스 28, 스위트 3)","푸른 자연이 숨쉬는 고장 공주시에 자리잡은 금강호텔은 아름다운 주변관광 속에 둘러 쌓인 쾌적하고 편안한 관광호텔로 세련된 실내디자인 뿐 아니라 편안하고 안락한 분위기를 자랑하고 있습니다.
항상 최고의 서비스와 최선을 다하며, 온돌/침실/트윈룸 등이 있고 고급 레스토랑, 오락실등 가족,연인들과 함께 즐길 수 있는 시설이 갖추어져 있습니다.
주로 외국인들이 많이 찾는 숙박업소이기도 하며, 깨끗한 시설과 아늑함으로 편안하게 지낼 수 있는 시설을 갖추고 있습니다.",
공주,stay,굿스테이,동학산장,충남 공주시 반포면 동학사1로 266-4,36.3592957,127.23832,042-825-4301,http://www.dhsanjang.co.kr/,"2인실(3개), 4인실(10개), 5인실(10개), 6인실(4개), 12인실(6개)","수도권을 비롯한 전국 어디에서나 2시간 전후에 도착할 수 있는 편리한 교통 여건속에서 가족고객께는 단란하고 아늑한 휴식공간을 제공해 드리고 단체고객 여러분의 기업체 연수, 워크숍, 학회, 연구소 등의 세미나, MT나 OT, 친목모임 등의 개최에서 규모나 예산에 맞는 다양한 이벤트에 최상의 조건에 맞추어 진행해 드릴 수 있는 최적의 장소입니다.
특히 호텔동학산장은 굿스테이(우수숙박시설) 지정업체로써, 한국관광공사가 6개월에 한번씩 표준화된 시설 및 숙박서비스, 철저한 정액요금제 실시, 청결과 위생상태 등의 운영실태를 조사 점검하여 국내외 여행객이 안심하고 머물수 있는 편안한 쉼터가 되도록 철저히 관리, 감독하는 우수 숙박업소의 대명사입니다.",10.jpg
