번호,출처,지역,업종,상호명,주메뉴,주소,연락처,소개,
1,충남추천맛집,천안,한식,아구드림,"아구찜, 아구탕",충청남도 천안시 동남구 광풍로 1698,041-566-0607,"천안 아구의 명가
고단백질의 흰 어육은 중풍의 원인이 되는 동맥경화 및 당뇨병의 예방에 좋으며 북어를 능가하는 주독해소 작용을 하고, 정력 증강에는 물론 현대인의 성인병 예방에도 좋 은 효험을 나타낸다. 아구의 특징을 잘 이용한 아구드림은 고급스런 상차림과 코스 요리로다양한아구의맛을볼수있다.",
2,충남추천맛집,천안,한식,대명가든,"한정식, 소양념갈비",충청남도 천안시 동남구 구성12길 9,041-563-1234,"육즙이 부드럽고 씹는 맛이 뛰어난 양념갈비
30년 전통의 천안 맛집으로 아름답고 운치 있는 정원이 있어 음식의 맛을 더욱더 살려준다. 고기와 한정식의 명가로 엄선된 식재료만을 사용하여 깊은 맛을 느낄 수 있다. 육즙이 부드럽고 씹는 맛이 뛰어난 양념갈비는 누구나 좋아하며 한정식 또한 푸짐한 상차림으로 인기가 좋다.",
3,충남추천맛집,천안,한식,천안본가장어전문점,장어,충청남도 천안시 동남구 다가말4길 28,041-577-1593,"2대째 이어오는 전통의 민물장어 전문점
30년 넘는 전통의 민물장어 전문점으로 국내산 민물장어만을 사용하고 있다. 특히 30여 가지가 넘는 재료를 혼합하여 자체개발한 소스와 신선 한 장어와의 어울림이 최고의 맛을 선사해 준다. 다양한 밑반찬과 상차림 이 정갈하여 많은 손님들이 찾고 있다.",
4,충남추천맛집,천안,한식,오복갈비,"한우생갈비, 돼지갈비",충청남도 천안시 동남구 공설시장2길 9-2,041-562-8134,"우거지와 갈비탕전문
한우생갈비, 돼지갈비의 맛집으로 오복갈비는 즉석에서 바로 고기 손질을 하여 항상 신선한 갈비를 제공한다. 또한 국물을 조려서 먹는 방법으로 다른 갈비 음식점과 차별화를 두었으며 우렁, 야채, 고기가 가득 들어간 우렁 쌈장과 시래기 한가득 들어간 시래기 된장찌개가 일품이다.",
5,충남추천맛집,천안,한식,석산장,"돼지갈비, 냉면",충청남도 천안시 동남구 문화로 30,041-551-7230,천안에서 아주 오래되고 유명한 국물돼지갈비로 불판 가장자리에 육수를 부어서 먹는 방법으로 일반적인 양념에 재운 돼지갈비와는 차이가 있다. 20년 전통의 석산장은 그 역사를 말하듯 허름한 내관을 지녔지만 돼지갈비의 맛은 어느 식당에도 뒤지지 않는다. 그리고 후식으로 냉면과 함께하면 금성첨화다. 천안의 맛집이라 주말에는 문전성시를 이룬다.,
6,충남추천맛집,천안,한식,이학돌솥삼계탕전문점,"돌솥삼계탕, 닭볶음탕",충청남도 천안시 동남구 서부대로 561,041-575-8330,"국내산 재료만을 고집한 전통 보양식
30년 전통의 손맛으로 순수 국내산 재료만을 고집하여 맛이 좋을 뿐만 아니라 영양도 만점이어서 사계절 최고의 보양식이다. 삼계탕을 먹고 난 후 맛보는 누룽지의 맛이 일품이며 전통 보양식으로 진한 국물 또한 빼놓을 수 없다.",
7,충남추천맛집,천안,한식,원조옥수사,"칼국수, 수육",충청남도 천안시 동남구 사직로 10-6,041-551-1202,"오랜 전통의 칼국수와 수육
원조 옥수사 칼국수는 면발이 탱탱하고 쫄깃쫄깃하여 밀가루 음식을 싫어하는 사람 도 한번 먹고 나면 다시 찾는 음식이다. 바지락도 신선함은 물론이고 칼국수 면발과 어우러져내는국물맛이최고이다.또한 수육도 쌈과 함께먹으면 그맛이 일품이다.",
8,충남추천맛집,천안,한식,뜰안채채식뷔페,채식뷔페,충청남도 천안시 동남구 신방남부길 79-17,041-567-5879,"건강을 생각한 식단과 편안한 분위기
뜰안채의 음식은 고기, 생선, 계란 등 동물성 단백질은 전혀 없는 순수 채식으로만 만들어진 음식으로 가득 해 신선하고 다양한 채소의 맛을 한껏 볼 수 있다. 육 식을 잠시 피하고 싶은 분들에게는 꼭 추천하고 싶은 맛집이다.",
9,충남추천맛집,천안,한식,민들레,"육개장, 닭백숙, 막국수",충청남도 천안시 동남구 향교1길 85-27,041-562-0005,"잃어버린 입맛을 찾는 데는 육개장이 최고!
민들레의 육개장은 사골로 우려낸 육수와 고사리, 토란대, 한우 양지와 사태, 고춧가 루 등을 넣어 끓이는데 특히 대파가 많이 들어가 달달한 맛이 일품인 육개장 그릇을 커다란 그릇에 맛깔스럽게 담아낸다. 민들레는 전통적인 방식을 어느 정도 접목시켜서 우리의 입맛에 맞는 메뉴를 만들며 단순히 음식뿐만아니라 날씨가 좋은날에는 비치되어 있는 벤치에 앉아서 경치를 감상할 수도 있다.",
10,충남추천맛집,천안,한식,은행나무집,"유황오리진흙구이, 한방오리백숙",충청남도 천안시 동남구 태조산길 137,041-556-5292,"유황 오리 진흙구이의 명가
유황먹인 오리와 각종 한약재 18가지를 황토기에 넣어 500도 이상의 열로 3시간동안 구워내기 때문에 반드시 예약하고 방문해야 오리진흙구이맛을 볼 수있다. 오리뱃속에 가득 차있는 영양밥엔 찹쌀과 은행, 황기, 감초, 각종 한약재와 견과류가 많이 들어가 영양식으로 충분하다. 진흙구이의 양이 부족하다 싶으면 소면, 동치미국수를 먹으면 부족한양을 채울 수가있고, 동치미국물에 말아내오는 국수는 시원하며 개운하다.",
11,충남추천맛집,천안,한식,신토장수오리,"오리누룽지백숙, 오리훈제, 닭누룽지백숙","충청남도 천안시 동남구 유량로 164, 1동",041-566-5292,"백숙의 죽을 찹쌀녹두로해서 더 맛있는집. 모든 재료는 최고의 특품만 엄선하여 사용하고 있으며 특히 강원도 고랭지 야채와 무공해 재료는 이 집의 자랑거리이다. 그리고 로스, 훈제, 주물럭, 죽 이렇게 코스로 나오는 메뉴도있어 다양한오리요리를 맛볼 수있다.",
12,충남추천맛집,천안,한식,놀부네메밀밭숯불갈비,메밀국수,충청남도 천안시 서북구 부성4길 16,041-556-1522,"전통메밀국수의 참맛!
메밀막국수와 소바로 오래되고 유명한 식당으로 메밀은 단백질 이 많아 영양가가 높고 탄수화물, 칼륨, 엽산, 마그네슘, 섬유질을 비롯한 8종의 필수아미노산이 들어 있어 남년노소 누구에게나 건강식으로도 좋다.",
13,충남추천맛집,천안,일식,불당동까치복집,"토장국, 복요리",충청남도 천안시 서북구 백석3로 13-7,041-551-1258,"시원한 생복으로 시원한 육수를 뽑는다
누구나 만족할 수 있는 입안에서 살살 녹는 맛이 일품인 까치복집은 신선하고 정갈한 솜씨로 모든 분들에게 인정받고 있는 맛집이다. 이 집의 주 메뉴는 참복 샤브샤브와 복지리, 복어뼈로 끓여낸 시원한 국물맛이 가슴 속 깊은 곳까지 전달된다. 다 먹고 나면 미나리, 표고버섯, 당근을 잘게 썰어 계란을 푼 뒤 죽을 만들어 내놓는데, 이 맛이 또한 일품이다.",
14,충남추천맛집,천안,한식,두목고기집,돼지고기특수부위,충청남도 천안시 서북구 불당5길 15,041-565-9293,"순 국내산 돼지고기 특수부위 전문점
전문가의 안목으로 골라 합격점을 받은 돼지고기 별미부위를 맛볼 수 있는 곳이다. 두 목 특수부위는 특히 콜라겐이 다량 함유되어 있어 피부미용, 관절, 탈모 등에 도움을 준다. 특수부위로는 두목살, 볼살, 하안살, 부채살 등이 있으며 직접 담근 된장, 고추장, 간장으로 토속의 맛을 내는 집으로 유명하다.",
15,충남추천맛집,천안,한식,큰댁,한정식,충청남도 천안시 서북구 성정중4길 30,041-555-8107,"상견례 장소로 유명한 고급한정식 맛집
전통한정식의맛을이어온큰댁은간장과소금을사용해전통의맛을지키고있는소 문난 한정식 음식점이다. 큰댁은 좋은 재료만을 선별하여 매일매일 장을 보며 신선한 재료만으로 음식을 제공하고 있다. 또한 인공조미료를 사용하지 않고 음식 고유의 맛과 향을 유지할 수 있도록 노력하고 있다.",
16,충남추천맛집,천안,일식,모미지,특생선회,충청남도 천안시 서북구 서부대로 427,041-592-0020,"싱싱한 활어회를 제공하는 전통 일식집
산지에서 직송된 신선한 활어회 만을 엄선하여 담백하고 깔끔하며 씹는 맛이 일품이다. 상견례 자리로 많이 이용되며1층과 2층 모두 룸으로 이루어져 있어 조용하고 한가로운 분위기에서 정통일식을 즐길 수 있는 이다. 정갈하고 푸짐한 상차림으로 다시 한번 찾게 만드는 맛 집이다.",
17,충남추천맛집,천안,한식,청룔원조매운탕,"민물새우매운탕, 메기매운탕",충청남도 천안시 서북구 입장면 성진로 1406,041-585-5598,"민물매운탕의진수를맛볼수있는곳
시원한 국물 맛이 일품인 민물새우탕을 한입 먹으면 민물새우가 톡톡 터지면서 매운 탕의깊은맛을느낄수있다.따끈한밥위에 한국자떠서 말아먹으면 시원한국물맛에 매료될 것이다. 민물새우는 가을이 제철이고 미네랄 칼슘이 풍부한 고단백 저칼로리 식품으로 타우린이 많아 간 해독에도 좋다.",
18,충남추천맛집,천안,한식,능물산장,"흑염소요리(육회, 수육, 전골)",충청남도 천안시 서북구 입장면 호당리 5번지 1호,041-587-4901,"자연과 함께 즐기는 최고의 보양식
자연에서 자란 흑염소 암컷만을 이용하여 손님들에게 제공하고 있다. 염소특유의 노린내를 제거하기 위해 갖가지 한약재와 염소뼈를 사용하며 24시간 가마솥에서 고아 내는 육수는 천하일품이다. 주변 성거산에서 방목해 자유롭게 뛰어다니며 약초와 풀을 뜯어먹고자란 흑염소는 웰빙식으로 최고의 식품이라해도 과언이 아니다. 맑은물이 흐르는 계곡과 맑은공기를 쐬며먹는 음식은 정말 최고의 보양식이라 할 수 있다.",
19,충남추천맛집,공주,한식,고마나루돌쌈밥,"돌쌈밥, 쌈정식",충청남도 공주시 백미고을길 5-9,041-857-9999,"백제의 전통향기를 맛볼 수 있는 곳
공산성이 훤히 보이는 위치에 자리한 고마나루 돌쌈밥 식당은 현대인의 건강식으로 꼽히는 각종 쌈과 영양 가득한 돌솥밥이 만나 조화를 이루며 식용꽃 쌈을 맛볼 수 있는 곳이기도 하다. 돌쌈밥은 계절에 따라 조금씩 바뀌는 다양한 쌈 채소와 주물럭돌쌈밥, 불고기돌쌈밥, 편육돌쌈밥, 오리훈제돌쌈밥, 오리주물럭돌쌈밥 등으로 메뉴가 다 양하다.",
