시도,군구,관광지,내/외국인,총계(2019.01 ~ 2020.12),인원계,2019년 01월,2019년 02월,2019년 03월,2019년 04월,2019년 05월,2019년 06월,2019년 07월,2019년 08월,2019년 09월,2019년 10월,2019년 11월,2019년 12월,인원계,2020년 01월,2020년 02월,2020년 03월,2020년 04월,2020년 05월,2020년 06월,2020년 07월,2020년 08월,2020년 09월,2020년 10월,2020년 11월,2020년 12월
충청남도,천안시,각원사,내국인,"211,697","105,259","7,393","7,277","8,226","17,941","14,322","8,724","5,969","6,510","6,333","9,607","7,501","5,456","106,438","7,729","4,797","8,238","21,610","14,643","6,873","6,339","5,270","7,103","12,020","7,035","4,781"
충청남도,천안시,각원사,합계,"211,697","105,259","7,393","7,277","8,226","17,941","14,322","8,724","5,969","6,510","6,333","9,607","7,501","5,456","106,438","7,729","4,797","8,238","21,610","14,643","6,873","6,339","5,270","7,103","12,020","7,035","4,781"
충청남도,천안시,광덕산,내국인,"474,042","222,115","16,400","17,079","19,371","18,145","25,447","21,294","16,392","20,428","16,185","21,109","15,918","14,347","251,927","15,812","14,236","21,493","25,479","26,253","22,482","21,882","18,990","22,430","28,047","17,825","16,998"
충청남도,천안시,광덕산,합계,"474,042","222,115","16,400","17,079","19,371","18,145","25,447","21,294","16,392","20,428","16,185","21,109","15,918","14,347","251,927","15,812","14,236","21,493","25,479","26,253","22,482","21,882","18,990","22,430","28,047","17,825","16,998"
충청남도,천안시,대명리조트 천안,내국인,"428,475","356,515","12,296","20,084","30,268","20,296","22,639","24,612","86,400","122,518","17,402",0,0,0,"71,960",0,0,0,0,0,"11,604","12,356","15,106","7,367","9,938","9,639","5,950"
충청남도,천안시,대명리조트 천안,외국인,"1,115","1,115",48,124,59,147,61,33,32,17,594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
충청남도,천안시,대명리조트 천안,합계,"429,590","357,630","12,344","20,208","30,327","20,443","22,700","24,645","86,432","122,535","17,996",0,0,0,"71,960",0,0,0,0,0,"11,604","12,356","15,106","7,367","9,938","9,639","5,950"
충청남도,천안시,독립기념관,내국인,"2,374,408","1,780,522","89,359","111,045","180,187","183,437","226,442","128,461","81,304","159,681","106,672","221,626","221,750","70,558","593,886","71,398","30,662",0,"6,222","63,450","61,672","58,893","57,260",0,"107,924","109,758","26,647"
충청남도,천안시,독립기념관,외국인,"16,094","15,461",716,866,"1,852","2,015","1,919","1,056","2,116","1,325",841,848,"1,345",562,633,450,183,0,0,0,0,0,0,0,0,0,0
충청남도,천안시,독립기념관,합계,"2,390,502","1,795,983","90,075","111,911","182,039","185,452","228,361","129,517","83,420","161,006","107,513","222,474","223,095","71,120","594,519","71,848","30,845",0,"6,222","63,450","61,672","58,893","57,260",0,"107,924","109,758","26,647"
충청남도,천안시,유관순열사 생가,내국인,"121,369","88,220","3,655","6,687","14,606","10,812","9,855","8,093","5,782","8,317","5,733","8,316","6,364",0,"33,149","3,013","1,734",0,"2,959","3,051","2,421","2,333","3,133","2,385","5,040","4,196","2,884"
충청남도,천안시,유관순열사 생가,합계,"121,369","88,220","3,655","6,687","14,606","10,812","9,855","8,093","5,782","8,317","5,733","8,316","6,364",0,"33,149","3,013","1,734",0,"2,959","3,051","2,421","2,333","3,133","2,385","5,040","4,196","2,884"
충청남도,천안시,유관순열사사적지,내국인,"137,061","110,020","5,567","13,926","21,083","15,258","14,976","10,036","4,226","5,690","4,985","6,300","5,509","2,464","27,041","3,672","1,999",0,"3,185","2,922","1,980","1,630","1,433","2,717","3,114","2,858","1,531"
충청남도,천안시,유관순열사사적지,합계,"137,061","110,020","5,567","13,926","21,083","15,258","14,976","10,036","4,226","5,690","4,985","6,300","5,509","2,464","27,041","3,672","1,999",0,"3,185","2,922","1,980","1,630","1,433","2,717","3,114","2,858","1,531"
충청남도,천안시,천안박물관,내국인,"198,711","163,588","12,405","12,920","15,819","14,994","16,801","15,339","14,505","16,003","12,855","15,845","8,109","7,993","35,123","4,292","3,702",0,828,"3,919","5,003","2,961","3,384",449,"2,688","3,950","3,947"
충청남도,천안시,천안박물관,합계,"198,711","163,588","12,405","12,920","15,819","14,994","16,801","15,339","14,505","16,003","12,855","15,845","8,109","7,993","35,123","4,292","3,702",0,828,"3,919","5,003","2,961","3,384",449,"2,688","3,950","3,947"
충청남도,천안시,천안상록리조트,내국인,"1,080,285","805,809","103,485","38,314","30,400","54,928","76,893","78,922","108,868","117,340","48,158","67,598","30,347","50,556","274,476","80,304","10,144","13,768","15,089","16,160","16,158","22,679","28,178","20,619","24,968","17,105","9,304"
충청남도,천안시,천안상록리조트,합계,"1,080,285","805,809","103,485","38,314","30,400","54,928","76,893","78,922","108,868","117,340","48,158","67,598","30,347","50,556","274,476","80,304","10,144","13,768","15,089","16,160","16,158","22,679","28,178","20,619","24,968","17,105","9,304"
충청남도,천안시,천안예술의전당,내국인,"130,987","121,911","3,120","2,511","7,940","6,727","28,603","23,315","3,587","6,992","6,199","10,965","11,829","10,123","9,076",792,0,0,0,428,984,"2,602","2,709",159,818,494,90
충청남도,천안시,천안예술의전당,합계,"130,987","121,911","3,120","2,511","7,940","6,727","28,603","23,315","3,587","6,992","6,199","10,965","11,829","10,123","9,076",792,0,0,0,428,984,"2,602","2,709",159,818,494,90
충청남도,천안시,천안홍대용과학관,내국인,"132,929","101,825","11,150","8,830","7,746","7,735","9,043","7,737","8,824","16,895","4,536","7,625","5,682","6,022","31,104","5,697","1,806",0,0,"1,949","3,560","3,771","5,952",25,"3,845","3,191","1,308"
충청남도,천안시,천안홍대용과학관,합계,"132,929","101,825","11,150","8,830","7,746","7,735","9,043","7,737","8,824","16,895","4,536","7,625","5,682","6,022","31,104","5,697","1,806",0,0,"1,949","3,560","3,771","5,952",25,"3,845","3,191","1,308"
충청남도,천안시,태학산자연휴양림,내국인,"100,594","83,756","3,373","3,565","4,444","9,532","10,835","9,287","8,824","6,910","8,655","8,191","6,840","3,300","16,838","2,700",234,650,"1,193","1,478","1,285","3,756","1,184","1,278","1,586","1,051",443
충청남도,천안시,태학산자연휴양림,합계,"100,594","83,756","3,373","3,565","4,444","9,532","10,835","9,287","8,824","6,910","8,655","8,191","6,840","3,300","16,838","2,700",234,650,"1,193","1,478","1,285","3,756","1,184","1,278","1,586","1,051",443
충청남도,공주시,계룡산국립공원(갑사),내국인,"257,026","122,489","5,562","4,980","5,900","10,464","10,978","9,377","10,901","8,043","6,069","19,690","22,294","8,231","134,537","8,383","3,585","6,037","8,985","10,121","7,284","9,219","9,746","11,587","29,282","23,964","6,344"
충청남도,공주시,계룡산국립공원(갑사),외국인,736,689,27,34,31,34,75,36,46,26,113,110,112,45,47,31,10,6,0,0,0,0,0,0,0,0,0
충청남도,공주시,계룡산국립공원(갑사),합계,"257,762","123,178","5,589","5,014","5,931","10,498","11,053","9,413","10,947","8,069","6,182","19,800","22,406","8,276","134,584","8,414","3,595","6,043","8,985","10,121","7,284","9,219","9,746","11,587","29,282","23,964","6,344"
충청남도,공주시,계룡산국립공원(동학사),내국인,"1,079,134","593,681","35,256","33,822","41,980","75,421","58,361","49,537","38,844","45,837","36,735","71,983","71,329","34,576","485,453","34,056","26,654","42,193","55,696","48,892","35,837","32,404","32,573","36,256","63,424","49,279","28,189"
충청남도,공주시,계룡산국립공원(동학사),외국인,"1,438","1,350",46,62,50,186,73,27,66,109,81,473,123,54,88,69,19,0,0,0,0,0,0,0,0,0,0
충청남도,공주시,계룡산국립공원(동학사),합계,"1,080,572","595,031","35,302","33,884","42,030","75,607","58,434","49,564","38,910","45,946","36,816","72,456","71,452","34,630","485,541","34,125","26,673","42,193","55,696","48,892","35,837","32,404","32,573","36,256","63,424","49,279","28,189"
충청남도,공주시,계룡산국립공원(병사골),내국인,"34,514","12,659","1,105","1,268","1,290","1,213","1,022",957,595,800,969,"1,459","1,069",912,"21,855",998,992,"1,736","1,868","1,212","1,051","1,934","1,477","2,722","3,780","1,908","2,177"
충청남도,공주시,계룡산국립공원(병사골),합계,"34,514","12,659","1,105","1,268","1,290","1,213","1,022",957,595,800,969,"1,459","1,069",912,"21,855",998,992,"1,736","1,868","1,212","1,051","1,934","1,477","2,722","3,780","1,908","2,177"
