년,월,광역지자체,현지인(a),외지인(b),외국인(c),내국인(a+b),외부방문자(b+c),전체방문자(a+b+c)
"2019","01","서울특별시","130,981,176","49,167,240","1,881,982","180,148,416","51,049,223","182,030,398"
"2019","01","부산광역시","38,855,149","11,674,128","294,616","50,529,276","11,968,743","50,823,892"
"2019","01","경기도","162,579,560","45,956,222","654,780","208,535,782","46,611,002","209,190,562"
"2019","01","충청남도","27,432,779","10,369,506","112,279","37,802,285","10,481,785","37,914,564"
"2019","01","제주특별자치도","14,000,707","4,266,231","312,594","18,266,937","4,578,825","18,579,532"
"2019","02","서울특별시","111,320,821","43,909,075","1,832,432","155,229,897","45,741,507","157,062,329"
"2019","02","부산광역시","34,681,612","12,876,465","312,050","47,558,077","13,188,515","47,870,127"
"2019","02","경기도","138,865,450","43,111,303","680,858","181,976,753","43,792,160","182,657,611"
"2019","02","충청남도","24,065,279","12,122,985","114,066","36,188,264","12,237,051","36,302,330"
"2019","02","제주특별자치도","12,433,684","3,919,934","355,574","16,353,617","4,275,507","16,709,191"
"2019","03","서울특별시","134,851,511","60,777,357","2,039,574","195,628,867","62,816,931","197,668,441"
"2019","03","부산광역시","39,710,478","14,100,187","400,192","53,810,666","14,500,379","54,210,858"
"2019","03","경기도","168,081,084","60,810,432","676,654","228,891,516","61,487,085","229,568,170"
"2019","03","충청남도","28,193,029","14,588,497","136,111","42,781,525","14,724,608","42,917,637"
"2019","03","제주특별자치도","14,316,183","4,446,690","406,773","18,762,874","4,853,464","19,169,647"
"2019","04","서울특별시","119,185,794","43,323,473","2,353,254","162,509,267","45,676,727","164,862,521"
"2019","04","부산광역시","36,381,838","10,284,054","504,583","46,665,892","10,788,637","47,170,475"
"2019","04","경기도","148,565,847","44,389,797","802,849","192,955,644","45,192,645","193,758,493"
"2019","04","충청남도","26,901,469","12,266,223","146,182","39,167,691","12,412,405","39,313,874"
"2019","04","제주특별자치도","13,544,643","4,080,300","495,204","17,624,943","4,575,504","18,120,147"
"2019","05","서울특별시","122,667,797","51,738,645","2,053,610","174,406,442","53,792,255","176,460,052"
"2019","05","부산광역시","39,926,246","12,990,982","467,262","52,917,228","13,458,243","53,384,490"
"2019","05","경기도","151,744,166","52,650,573","705,068","204,394,739","53,355,642","205,099,808"
"2019","05","충청남도","29,689,002","13,182,628","138,452","42,871,629","13,321,080","43,010,082"
"2019","05","제주특별자치도","14,361,942","4,266,713","472,709","18,628,655","4,739,423","19,101,365"
"2019","06","서울특별시","115,948,781","51,421,888","1,883,157","167,370,669","53,305,045","169,253,825"
"2019","06","부산광역시","38,926,017","11,056,895","439,977","49,982,912","11,496,873","50,422,889"
"2019","06","경기도","145,399,089","53,647,135","660,582","199,046,225","54,307,718","199,706,807"
"2019","06","충청남도","28,722,250","11,982,905","116,818","40,705,154","12,099,722","40,821,972"
"2019","06","제주특별자치도","13,581,729","4,080,814","505,781","17,662,544","4,586,595","18,168,324"
"2019","07","서울특별시","117,567,443","58,264,847","2,168,782","175,832,289","60,433,628","178,001,071"
"2019","07","부산광역시","40,926,889","13,210,617","436,473","54,137,507","13,647,090","54,573,979"
"2019","07","경기도","145,586,021","60,127,620","768,724","205,713,641","60,896,344","206,482,365"
"2019","07","충청남도","28,796,712","12,938,250","130,041","41,734,963","13,068,292","41,865,004"
"2019","07","제주특별자치도","13,789,279","4,713,832","524,778","18,503,111","5,238,610","19,027,889"
"2019","08","서울특별시","123,105,528","62,843,266","2,419,735","185,948,795","65,263,001","188,368,529"
"2019","08","부산광역시","38,924,067","13,473,968","470,346","52,398,034","13,944,314","52,868,381"
"2019","08","경기도","150,430,602","68,402,618","782,599","218,833,220","69,185,217","219,615,819"
"2019","08","충청남도","27,532,278","14,571,708","148,615","42,103,985","14,720,323","42,252,600"
"2019","08","제주특별자치도","13,595,935","5,349,022","615,201","18,944,957","5,964,223","19,560,159"
"2019","09","서울특별시","119,529,291","57,545,747","2,375,600","177,075,038","59,921,347","179,450,638"
"2019","09","부산광역시","39,343,629","13,364,900","468,581","52,708,530","13,833,482","53,177,111"
"2019","09","경기도","146,517,878","60,490,283","833,587","207,008,161","61,323,870","207,841,748"
"2019","09","충청남도","27,641,954","14,875,781","168,374","42,517,734","15,044,155","42,686,108"
"2019","09","제주특별자치도","13,118,066","4,199,822","531,940","17,317,888","4,731,762","17,849,828"
"2019","10","서울특별시","123,117,831","56,278,649","2,906,496","179,396,480","59,185,145","182,302,975"
"2019","10","부산광역시","41,201,734","11,671,233","547,140","52,872,967","12,218,373","53,420,107"
"2019","10","경기도","151,477,718","57,996,627","918,197","209,474,346","58,914,824","210,392,542"
"2019","10","충청남도","29,350,787","13,842,605","162,768","43,193,392","14,005,373","43,356,160"
"2019","10","제주특별자치도","14,059,181","4,742,091","621,016","18,801,272","5,363,107","19,422,288"
"2019","11","서울특별시","136,085,197","60,061,148","2,860,170","196,146,345","62,921,318","199,006,516"
"2019","11","부산광역시","40,658,915","11,774,396","460,266","52,433,311","12,234,661","52,893,577"
"2019","11","경기도","164,828,244","58,462,264","881,554","223,290,508","59,343,818","224,172,062"
"2019","11","충청남도","29,211,305","12,580,018","146,408","41,791,323","12,726,426","41,937,731"
"2019","11","제주특별자치도","13,732,260","4,348,533","525,026","18,080,793","4,873,559","18,605,820"
"2019","12","서울특별시","136,135,289","53,230,254","2,903,067","189,365,543","56,133,321","192,268,610"
"2019","12","부산광역시","42,756,136","13,194,310","482,928","55,950,447","13,677,238","56,433,375"
"2019","12","경기도","169,980,517","49,344,624","994,459","219,325,141","50,339,083","220,319,600"
"2019","12","충청남도","30,801,488","11,285,459","135,321","42,086,947","11,420,780","42,222,268"
"2019","12","제주특별자치도","14,149,762","4,481,918","554,198","18,631,679","5,036,116","19,185,878"
"2020","01","서울특별시","136,331,356","49,980,364","1,588,469","186,311,720","51,568,833","187,900,189"
"2020","01","부산광역시","40,188,092","13,512,740","211,090","53,700,832","13,723,830","53,911,922"
"2020","01","경기도","170,255,747","49,728,308","562,435","219,984,055","50,290,743","220,546,489"
"2020","01","충청남도","28,622,594","12,680,413","55,442","41,303,007","12,735,854","41,358,448"
"2020","01","제주특별자치도","13,402,578","4,718,361","325,788","18,120,938","5,044,149","18,446,727"
"2020","02","서울특별시","126,469,697","39,887,253","792,819","166,356,949","40,680,072","167,149,769"
"2020","02","부산광역시","37,560,757","9,479,306","135,697","47,040,063","9,615,002","47,175,760"
"2020","02","경기도","156,807,136","40,011,500","348,186","196,818,636","40,359,685","197,166,822"
"2020","02","충청남도","26,499,386","8,693,528","38,918","35,192,913","8,732,446","35,231,831"
"2020","02","제주특별자치도","12,422,655","3,129,308","79,248","15,551,963","3,208,556","15,631,211"
"2020","03","서울특별시","124,658,583","35,875,693","136,419","160,534,276","36,012,112","160,670,695"
"2020","03","부산광역시","37,321,949","8,356,096","46,689","45,678,045","8,402,785","45,724,734"
"2020","03","경기도","159,005,620","43,016,015","166,757","202,021,635","43,182,772","202,188,392"
"2020","03","충청남도","26,630,223","9,791,450","28,924","36,421,672","9,820,373","36,450,596"
"2020","03","제주특별자치도","12,989,462","2,928,020","39,995","15,917,482","2,968,015","15,957,477"
"2020","04","서울특별시","125,818,476","37,482,358","103,094","163,300,834","37,585,451","163,403,927"
"2020","04","부산광역시","37,891,871","9,035,891","53,111","46,927,762","9,089,001","46,980,873"
"2020","04","경기도","158,932,476","43,511,209","158,213","202,443,685","43,669,422","202,601,899"
"2020","04","충청남도","26,651,373","10,863,979","26,126","37,515,352","10,890,105","37,541,478"
"2020","04","제주특별자치도","12,896,587","2,553,394","31,582","15,449,980","2,584,975","15,481,562"
"2020","05","서울특별시","133,575,355","42,751,229","108,014","176,326,584","42,859,243","176,434,598"
"2020","05","부산광역시","40,179,615","11,105,784","54,038","51,285,398","11,159,821","51,339,436"
"2020","05","경기도","171,689,847","49,358,684","146,337","221,048,530","49,505,020","221,194,867"
"2020","05","충청남도","29,753,241","13,244,249","26,564","42,997,489","13,270,812","43,024,053"
"2020","05","제주특별자치도","13,931,459","3,470,127","33,636","17,401,587","3,503,764","17,435,223"
"2020","06","서울특별시","131,627,975","39,775,204","141,716","171,403,179","39,916,920","171,544,895"
"2020","06","부산광역시","40,852,665","10,103,576","56,528","50,956,241","10,160,104","51,012,769"
"2020","06","경기도","170,686,446","45,580,780","176,773","216,267,226","45,757,553","216,443,999"
"2020","06","충청남도","30,387,875","11,482,205","25,650","41,870,080","11,507,855","41,895,730"
"2020","06","제주특별자치도","13,583,685","3,630,735","39,857","17,214,421","3,670,593","17,254,278"
"2020","07","서울특별시","136,400,127","44,764,482","196,689","181,164,609","44,961,171","181,361,299"
"2020","07","부산광역시","42,045,325","10,989,724","72,357","53,035,049","11,062,081","53,107,406"
"2020","07","경기도","176,094,804","51,282,616","208,637","227,377,420","51,491,253","227,586,057"
"2020","07","충청남도","30,726,014","11,892,153","26,780","42,618,167","11,918,933","42,644,946"
"2020","07","제주특별자치도","14,038,048","4,600,593","36,767","18,638,641","4,637,360","18,675,408"
"2020","08","서울특별시","128,190,776","38,545,374","191,114","166,736,150","38,736,488","166,927,264"
"2020","08","부산광역시","40,737,743","11,664,622","59,857","52,402,364","11,724,479","52,462,221"
"2020","08","경기도","167,336,971","45,559,374","171,336","212,896,345","45,730,710","213,067,681"
"2020","08","충청남도","29,421,627","12,917,040","32,567","42,338,667","12,949,607","42,371,234"
"2020","08","제주특별자치도","13,651,981","5,108,012","38,042","18,759,993","5,146,054","18,798,035"
"2020","09","서울특별시","125,109,145","36,548,505","201,368","161,657,650","36,749,873","161,859,018"
"2020","09","부산광역시","40,887,662","9,856,056","59,988","50,743,718","9,916,044","50,803,705"
"2020","09","경기도","166,928,850","45,252,893","194,491","212,181,742","45,447,384","212,376,234"
"2020","09","충청남도","29,970,643","11,838,292","32,369","41,808,935","11,870,660","41,841,304"
"2020","09","제주특별자치도","13,461,147","3,522,309","48,657","16,983,456","3,570,966","17,032,113"
"2020","10","서울특별시","130,932,123","43,962,999","179,059","174,895,122","44,142,058","175,074,181"
"2020","10","부산광역시","40,334,553","11,229,417","64,256","51,563,971","11,293,673","51,628,226"
"2020","10","경기도","174,688,447","51,330,321","190,187","226,018,768","51,520,508","226,208,955"
"2020","10","충청남도","30,336,597","13,883,968","31,239","44,220,565","13,915,207","44,251,804"
"2020","10","제주특별자치도","14,323,113","4,560,640","50,396","18,883,753","4,611,036","18,934,149"
"2020","11","서울특별시","129,668,420","40,713,341","146,322","170,381,761","40,859,662","170,528,082"
"2020","11","부산광역시","41,527,371","10,412,234","58,107","51,939,605","10,470,341","51,997,711"
"2020","11","경기도","171,111,189","44,328,791","207,246","215,439,980","44,536,038","215,647,226"
"2020","11","충청남도","30,004,335","11,573,391","31,497","41,577,725","11,604,888","41,609,222"
"2020","11","제주특별자치도","14,057,179","4,443,582","41,154","18,500,761","4,484,736","18,541,915"
"2020","12","서울특별시","118,384,931","33,025,762","164,484","151,410,693","33,190,246","151,575,177"
"2020","12","부산광역시","38,998,407","8,980,440","67,698","47,978,847","9,048,138","48,046,545"
"2020","12","경기도","160,196,208","39,977,802","222,166","200,174,009","40,199,967","200,396,175"
"2020","12","충청남도","29,012,599","9,568,282","27,833","38,580,882","9,596,116","38,608,715"
"2020","12","제주특별자치도","13,771,650","3,518,081","38,685","17,289,731","3,556,766","17,328,415"
"2021","01","서울특별시","118,132,696","35,471,954","91,347","153,604,650","35,563,301","153,695,998"
"2021","01","부산광역시","37,408,774","8,749,569","53,056","46,158,343","8,802,626","46,211,399"
"2021","01","경기도","156,978,269","38,960,540","152,111","195,938,810","39,112,651","196,090,920"
"2021","01","충청남도","27,413,659","8,811,765","22,129","36,225,424","8,833,894","36,247,553"
"2021","01","제주특별자치도","14,507,507","3,090,038","32,218","17,597,545","3,122,256","17,629,763"
"2021","02","서울특별시","112,387,061","37,521,838","106,613","149,908,899","37,628,450","150,015,512"
"2021","02","부산광역시","35,559,986","10,115,679","49,457","45,675,665","10,165,136","45,725,122"
"2021","02","경기도","151,371,941","41,815,820","147,299","193,187,760","41,963,118","193,335,059"
"2021","02","충청남도","25,905,222","10,326,005","19,310","36,231,227","10,345,315","36,250,537"
"2021","02","제주특별자치도","13,983,781","3,866,671","26,223","17,850,452","3,892,893","17,876,674"
"2021","03","서울특별시","134,841,172","46,699,881","136,190","181,541,052","46,836,070","181,677,242"
"2021","03","부산광역시","41,547,457","11,716,691","55,966","53,264,148","11,772,657","53,320,114"
"2021","03","경기도","179,712,792","50,924,031","178,972","230,636,822","51,103,002","230,815,794"
"2021","03","충청남도","31,133,060","12,024,418","24,234","43,157,478","12,048,652","43,181,712"
"2021","03","제주특별자치도","16,332,333","4,788,963","35,769","21,121,296","4,824,731","21,157,065"
"2021","04","서울특별시","130,749,353","38,039,834","113,639","168,789,187","38,153,473","168,902,826"
"2021","04","부산광역시","38,944,185","9,099,500","65,386","48,043,684","9,164,886","48,109,071"
"2021","04","경기도","173,411,623","44,118,207","163,721","217,529,830","44,281,928","217,693,551"
"2021","04","충청남도","30,122,687","11,461,608","20,896","41,584,295","11,482,504","41,605,191"
"2021","04","제주특별자치도","15,700,405","5,049,282","36,302","20,749,687","5,085,584","20,785,989"
"2021","05","서울특별시","140,693,550","41,247,517","115,770","181,941,067","41,363,287","182,056,837"
"2021","05","부산광역시","42,668,027","10,615,447","66,668","53,283,475","10,682,116","53,350,143"
"2021","05","경기도","185,651,095","48,270,169","165,706","233,921,264","48,435,875","234,086,970"
"2021","05","충청남도","32,107,373","12,626,621","22,423","44,733,993","12,649,044","44,756,417"
"2021","05","제주특별자치도","16,336,240","5,319,930","35,720","21,656,169","5,355,650","21,691,889"
