년,월,광역지자체,현지인(a),외지인(b),외국인(c),내국인(a+b),외부방문자(b+c),전체방문자(a+b+c)
"2019","01","충청남도","27,432,779","10,369,506","112,279","37,802,285","10,481,785","37,914,564"
"2019","02","충청남도","24,065,279","12,122,985","114,066","36,188,264","12,237,051","36,302,330"
"2019","03","충청남도","28,193,029","14,588,497","136,111","42,781,525","14,724,608","42,917,637"
"2019","04","충청남도","26,901,469","12,266,223","146,182","39,167,691","12,412,405","39,313,874"
"2019","05","충청남도","29,689,002","13,182,628","138,452","42,871,629","13,321,080","43,010,082"
"2019","06","충청남도","28,722,250","11,982,905","116,818","40,705,154","12,099,722","40,821,972"
"2019","07","충청남도","28,796,712","12,938,250","130,041","41,734,963","13,068,292","41,865,004"
"2019","08","충청남도","27,532,278","14,571,708","148,615","42,103,985","14,720,323","42,252,600"
"2019","09","충청남도","27,641,954","14,875,781","168,374","42,517,734","15,044,155","42,686,108"
"2019","10","충청남도","29,350,787","13,842,605","162,768","43,193,392","14,005,373","43,356,160"
"2019","11","충청남도","29,211,305","12,580,018","146,408","41,791,323","12,726,426","41,937,731"
"2019","12","충청남도","30,801,488","11,285,459","135,321","42,086,947","11,420,780","42,222,268"
"2020","01","충청남도","28,622,594","12,680,413","55,442","41,303,007","12,735,854","41,358,448"
"2020","02","충청남도","26,499,386","8,693,528","38,918","35,192,913","8,732,446","35,231,831"
"2020","03","충청남도","26,630,223","9,791,450","28,924","36,421,672","9,820,373","36,450,596"
"2020","04","충청남도","26,651,373","10,863,979","26,126","37,515,352","10,890,105","37,541,478"
"2020","05","충청남도","29,753,241","13,244,249","26,564","42,997,489","13,270,812","43,024,053"
"2020","06","충청남도","30,387,875","11,482,205","25,650","41,870,080","11,507,855","41,895,730"
"2020","07","충청남도","30,726,014","11,892,153","26,780","42,618,167","11,918,933","42,644,946"
"2020","08","충청남도","29,421,627","12,917,040","32,567","42,338,667","12,949,607","42,371,234"
"2020","09","충청남도","29,970,643","11,838,292","32,369","41,808,935","11,870,660","41,841,304"
"2020","10","충청남도","30,336,597","13,883,968","31,239","44,220,565","13,915,207","44,251,804"
"2020","11","충청남도","30,004,335","11,573,391","31,497","41,577,725","11,604,888","41,609,222"
"2020","12","충청남도","29,012,599","9,568,282","27,833","38,580,882","9,596,116","38,608,715"
"2021","01","충청남도","27,413,659","8,811,765","22,129","36,225,424","8,833,894","36,247,553"
"2021","02","충청남도","25,905,222","10,326,005","19,310","36,231,227","10,345,315","36,250,537"
"2021","03","충청남도","31,133,060","12,024,418","24,234","43,157,478","12,048,652","43,181,712"
"2021","04","충청남도","30,122,687","11,461,608","20,896","41,584,295","11,482,504","41,605,191"
"2021","05","충청남도","32,107,373","12,626,621","22,423","44,733,993","12,649,044","44,756,417"
