시도,군구,관광지,내/외국인,총계(2018.05 ~ 2018.06),2018년,2018년 05월,2018년 06월
,,,,,인원계,,
충청남도,천안시,각원사,내국인,"21,106","21,106","13,150","7,956"
충청남도,천안시,각원사,합계,"21,106","21,106","13,150","7,956"
충청남도,천안시,광덕산,내국인,"48,870","48,870","26,598","22,272"
충청남도,천안시,광덕산,합계,"48,870","48,870","26,598","22,272"
충청남도,천안시,대명리조트 천안,내국인,"41,704","41,704","17,484","24,220"
충청남도,천안시,대명리조트 천안,외국인,"1,203","1,203",515,688
충청남도,천안시,대명리조트 천안,합계,"42,907","42,907","17,999","24,908"
충청남도,천안시,독립기념관,내국인,"347,285","347,285","200,475","146,810"
충청남도,천안시,독립기념관,외국인,"2,584","2,584","1,465","1,119"
충청남도,천안시,독립기념관,합계,"349,869","349,869","201,940","147,929"
충청남도,천안시,천안박물관,내국인,"33,850","33,850","20,972","12,878"
충청남도,천안시,천안박물관,합계,"33,850","33,850","20,972","12,878"
충청남도,천안시,천안상록리조트,내국인,"175,006","175,006","94,470","80,536"
충청남도,천안시,천안상록리조트,합계,"175,006","175,006","94,470","80,536"
충청남도,천안시,천안예술의전당,내국인,"16,334","16,334","6,906","9,428"
충청남도,천안시,천안예술의전당,합계,"16,334","16,334","6,906","9,428"
충청남도,천안시,천안홍대용과학관,내국인,"17,205","17,205","9,607","7,598"
충청남도,천안시,천안홍대용과학관,합계,"17,205","17,205","9,607","7,598"
충청남도,공주시,계룡산국립공원(갑사),내국인,"20,660","20,660","11,939","8,721"
충청남도,공주시,계룡산국립공원(갑사),외국인,142,142,64,78
충청남도,공주시,계룡산국립공원(갑사),합계,"20,802","20,802","12,003","8,799"
충청남도,공주시,계룡산국립공원(동학사),내국인,"55,139","55,139","25,119","30,020"
충청남도,공주시,계룡산국립공원(동학사),외국인,152,152,82,70
충청남도,공주시,계룡산국립공원(동학사),합계,"55,291","55,291","25,201","30,090"
충청남도,공주시,계룡산국립공원(병사골),내국인,"2,502","2,502","1,177","1,325"
충청남도,공주시,계룡산국립공원(병사골),합계,"2,502","2,502","1,177","1,325"
충청남도,공주시,계룡산국립공원(상신),내국인,"5,552","5,552","3,327","2,225"
충청남도,공주시,계룡산국립공원(상신),합계,"5,552","5,552","3,327","2,225"
충청남도,공주시,계룡산국립공원(신원사),내국인,"7,961","7,961","4,768","3,193"
충청남도,공주시,계룡산국립공원(신원사),외국인,64,64,26,38
충청남도,공주시,계룡산국립공원(신원사),합계,"8,025","8,025","4,794","3,231"
충청남도,공주시,계룡산국립공원(지석골),내국인,"3,007","3,007","1,436","1,571"
충청남도,공주시,계룡산국립공원(지석골),합계,"3,007","3,007","1,436","1,571"
충청남도,공주시,계룡산국립공원(천정),내국인,"25,770","25,770","12,980","12,790"
충청남도,공주시,계룡산국립공원(천정),합계,"25,770","25,770","12,980","12,790"
충청남도,공주시,골드리버CC,내국인,"9,235","9,235","4,451","4,784"
충청남도,공주시,골드리버CC,합계,"9,235","9,235","4,451","4,784"
충청남도,공주시,공산성,내국인,"60,991","60,991","39,651","21,340"
충청남도,공주시,공산성,외국인,"1,067","1,067",461,606
충청남도,공주시,공산성,합계,"62,058","62,058","40,112","21,946"
충청남도,공주시,공주 한옥마을,내국인,"13,732","13,732","7,756","5,976"
충청남도,공주시,공주 한옥마을,외국인,53,53,27,26
충청남도,공주시,공주 한옥마을,합계,"13,785","13,785","7,783","6,002"
충청남도,공주시,공주산림휴양마을 목재체험관,내국인,"22,071","22,071","8,855","13,216"
충청남도,공주시,공주산림휴양마을 목재체험관,합계,"22,071","22,071","8,855","13,216"
충청남도,공주시,국립공주박물관,내국인,"140,537","140,537","85,714","54,823"
충청남도,공주시,국립공주박물관,외국인,"1,119","1,119",589,530
충청남도,공주시,국립공주박물관,합계,"141,656","141,656","86,303","55,353"
충청남도,공주시,마곡사,내국인,"79,304","79,304","43,576","35,728"
충청남도,공주시,마곡사,외국인,629,629,348,281
충청남도,공주시,마곡사,합계,"79,933","79,933","43,924","36,009"
충청남도,공주시,석장리박물관,내국인,"197,655","197,655","188,439","9,216"
충청남도,공주시,석장리박물관,외국인,0,0,0,0
충청남도,공주시,석장리박물관,합계,"197,655","197,655","188,439","9,216"
충청남도,공주시,송산리고분군,내국인,"57,026","57,026","37,368","19,658"
충청남도,공주시,송산리고분군,외국인,"1,223","1,223",625,598
충청남도,공주시,송산리고분군,합계,"58,249","58,249","37,993","20,256"
충청남도,공주시,웅진백제역사관,내국인,"21,183","21,183","12,363","8,820"
충청남도,공주시,웅진백제역사관,합계,"21,183","21,183","12,363","8,820"
충청남도,공주시,임립미술관,내국인,"2,004","2,004","1,053",951
충청남도,공주시,임립미술관,합계,"2,004","2,004","1,053",951
충청남도,공주시,자연사박물관,내국인,"25,738","25,738","14,542","11,196"
충청남도,공주시,자연사박물관,외국인,0,0,0,0
충청남도,공주시,자연사박물관,합계,"25,738","25,738","14,542","11,196"
충청남도,공주시,풀꽃문학관,내국인,"7,088","7,088","2,629","4,459"
충청남도,공주시,풀꽃문학관,합계,"7,088","7,088","2,629","4,459"
충청남도,공주시,프린세스 골프클럽,내국인,"17,040","17,040","8,397","8,643"
충청남도,공주시,프린세스 골프클럽,합계,"17,040","17,040","8,397","8,643"
