,content,data,like,place,tags
0,"스토리 올렸더니 문의 폭주한 장소❤️어딘지 알려드릴게요!!저희가 감사하게도 첫 손님으로 다녀왔는데진짜 진심 여태껏 다녀온 숙소 중에 단연코 1등이라고 뽑을 수 있는 곳👍🏻숙소 이름은 바로바로 #선셋파머스 입니다❤️좋았던 부분이 넘 많아서 뭐부터 알려드려야 할지 모르겠네요🤣애견 동반 가능한 단독 주택이에요🐶주위에 다른 집도 없고 지나다니는 차도 없어서 마음껏 풀어놓을 수 있었어요◡̈ 집 뒤로는 물놀이 할 수 있는 계곡이 있는데수심이 발목까지 오는 곳부터 성인 가슴 정도인 깊은 곳까지 다양하게 있어요여름에 오면 계곡을 전세낸 것 처럼 놀 수 있어요다양한 나무들과 식물들이 있어요체리나무, 복숭아나무, 밤나무, 옥수수, 각종 쌈 채소, 양상추, 취나물 등등 시기 맞춰 가시면 다양한 제철 음식,과일을 체험해 볼 수 있어요지금은 체리 철이라 체리 나무에서 체리도 따 먹고 길가엔 산딸기도 많아서 산딸기도 따먹었어요🍒🍓집 앞마당엔 텐트 피칭도 가능해요우트가르드 설치하고 사진도 찍고 놀았네요⛺️그 외에 큰 방방이도 있고 집안엔 오락실 게임기도 있어요꼬꼬닭이 낳은 유정란도 있고요🥚아, 밤에 수많은 별은 물론 반딧불도 볼 수 있어요⭐️ 조용한 힐링을 원하는 커플,아이가 있는 가족이 가면 더 좋을 숙소가족 인원 제한도 완화된 만큼두 가족, 세 가족이 가도 충분한 숙소에요◡̈ 단점이 하나 있다면 산속에 있는 숙소라편의점까지 차로 20분정도 걸리더라구용🤣단독 계곡있고 이정도 놀거리가 많은데평일엔 10만원대, 성수기 주말이어도 20만원대인 숙소 없잖아요?🤭에어비엔비에 충남 금산군 으로 검색하면 금방 나오더라고요😊@sunset_farmers 인스타 계정도 있어요찐으로 너무 좋아서 나만 알고 싶은 숙소지만사장님부부가 너무 좋은 분이셔서왕창 대박나시라고 공유합니다!!! ❤️먼저 예약하는 사람이 승자.... 진심....#금산숙소 #금산펜션 #에어비엔비",2021-05-30,0,선셋파머스,"['#선셋파머스', '#금산숙소', '#금산펜션', '#에어비엔비']"
1,사랑나무💛⠀동화같은 나무 아래에서예쁜 노을이 펼쳐지던 곳🌈⠀하트 반쪽짜리 나무를 찍고 좌우반전해서합치면 꽉찬 하트를 만들 수 있답니다💜⠀일몰시간 30분 전에는 가셔서산너머 해가 지는 모습도 꼭 보세요 !⠀📍성흥산성 사랑나무- 충남 부여군 임천면 군사리 산 1-1- 주차 후 도보 10분 거리🚗,2021-06-08,0,성흥산성 사랑나무,[]
2,요것은 황매화🧡아그로랜드에는 황매화도 있답니당💛이번주에 3년만에 앞머리를 다시 내릴거에용!!기대중 두구두구🥰,2021-06-16,0,아그로랜드 태신목장,[]
3,•낮과 밤의 어디쯤•••••📸#EOSR + #RF2870F2📍#삽교호놀이동산,2021-05-21,0,삽교호놀이동산,"['#EOSR', '#RF2870F2📍', '#삽교호놀이동산']"
4,"⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀너의 입장에서 생각해 볼게,그럼 열리지 않을까-⠀⠀⠀⠀⠀⠀⠀🍃⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀📍충남 예산군 고덕면 태신목장🔖#충남여행 #서산여행 #봄 #여름 ⠀⠀⠀⠀⠀⠀⠀",2021-05-27,0,Seosan,"['#충남여행', '#서산여행', '#봄', '#여름']"
5,잠깐 수국나라 다녀왔습니다제주아니고 거제도 아니고 가까운 공주입니다#공주 #유구색동수국정원 🚘 충남 공주시 유구읍 창말길 44✔️주차장은 #유구시장주차장 #하나로마트 주차장 이용 🎫 무료 ⏰ 유구천변이라 별도 운영시간 없음✔️분홍 흰색의 #목수국 대부분이었는데 ✔️파스텔톤의 수국이 늘어나고 2020년 보다 더 예뻐졌어요✔️파스텔수국 > 흰목수국 > 분홍목수국 순으로 많이폈고 분홍수국은 주말즈음부터 이쁠듯합니다✔️지역주민들이 자치활동으로 가꾼  #유구수국 으로✔️지역경제 활성화를 위해 #유구전통시장 이나 지역식당이용 어떨까요? ^^ 전 짜장면 먹고 집에 오기전 시장에 들려 닭한마리 튀겨왔어요✔️주변추천여행지#유구벽화 #유구정육식당 #유구시장닭집 다른수국명소는 #킴보추천여행지With @jjoo_kkyu,2021-06-14,0,충남공주시유구읍,"['#공주', '#유구색동수국정원', '#유구시장주차장', '#하나로마트', '#목수국', '#유구수국', '#유구전통시장', '#유구벽화', '#유구정육식당', '#유구시장닭집', '#킴보추천여행지With']"
6,"""인주""세대를 아우르는 한옥의 아름다움어진 고을의 뜻을 가진 인주면에웅장한 한옥 공간이 자리해있다자칫 소홀해질 수 있는 큰 공간이섬세한 정성으로 가득하던 곳...(카페 공간이 정말 다양해서 보여드리지 못한 곳도 많아요~ 가족분들 모시고 가셔도 좋으실거 같아요 :D)-◽️카페인주◽️충남 아산시 인주면 아산만로 1608 가, 나, 다동(10:00~22:00)인주라떼 7.0-#공간노트",2021-05-24,0,충남 아산,['#공간노트']
7,모두가 잠들었을때 피는 달,2021-05-24,0,궁남지,[]
8,"#당진여행 #아그로랜드태신목장 제주도 수국 대신 #당진 #수레국화 💙💙만개가 안 된건지, 시든건지 좀 듬성듬성하긴 했지만 그래도 넘 만족스러웠던 #국내여행 ...#6월여행 #당진가볼만한곳 #충남여행 #충청도여행 #충청도 #여행지추천 #여행사진 #여행룩 #여행코디 #여행패션 #수레국화밭 #아그로랜드 #당진아그로랜드 #내돈내산여행 #대한민국구석구석",2021-06-11,0,아그로랜드 태신목장,"['#당진여행', '#아그로랜드태신목장', '#당진', '#수레국화', '#국내여행', '#6월여행', '#당진가볼만한곳', '#충남여행', '#충청도여행', '#충청도', '#여행지추천', '#여행사진', '#여행룩', '#여행코디', '#여행패션', '#수레국화밭', '#아그로랜드', '#당진아그로랜드', '#내돈내산여행', '#대한민국구석구석']"
9,-부케 캔들 및 홀더 제작건💛오늘 쇼룸은 7시 까지열어두어요'◡' :구매 및 문의는인스타그램 DM 또는카카오채널 릴리아를이용해주세요ෆ,2021-06-16,0,,[]
