,content,data,like,place,tags
0,"""인주""세대를 아우르는 한옥의 아름다움어진 고을의 뜻을 가진 인주면에웅장한 한옥 공간이 자리해있다자칫 소홀해질 수 있는 큰 공간이섬세한 정성으로 가득하던 곳...(카페 공간이 정말 다양해서 보여드리지 못한 곳도 많아요~ 가족분들 모시고 가셔도 좋으실거 같아요 :D)-◽️카페인주◽️충남 아산시 인주면 아산만로 1608 가, 나, 다동(10:00~22:00)인주라떼 7.0-#공간노트",2021-05-24,0,충남 아산,['#공간노트']
1,"⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀너의 입장에서 생각해 볼게,그럼 열리지 않을까-⠀⠀⠀⠀⠀⠀⠀🍃⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀📍충남 예산군 고덕면 태신목장🔖#충남여행 #서산여행 #봄 #여름 ⠀⠀⠀⠀⠀⠀⠀",2021-05-27,0,Seosan,"['#충남여행', '#서산여행', '#봄', '#여름']"
2,"✅ #공주_한적한가..작은 도심속 한적함을 누릴 수 있는 ""한적한가"" 추억이 가득한 공간을 전통의 미를 더해 재탄생시킨 사랑스러운 공간이다..화이트톤과 우드톤이 조화롭게 어우러져 포근한 느낌을 주는 내부는 따스한 햇살을 만끽할 수 있는 작고 큰 창들로 꾸며져 있다. 가족, 친구들과 함께하기 좋은 ""한적한가""와 연인과 함께 가기 좋은 ""한적한나""로 나뉘어져 있어 취향대로 골라 가기 좋다. 아기자기한 마당에는 아이들이 놀 수 있는 모래밭부터 공주 밤과 고구마를 구워 먹을 수 있는 불멍 세트에 바비큐까지 갖추고 있어 더욱 매력적이다..주인장의 감성이 가득 담긴 공간에서 우리만의 소중한 추억을 선물 받을 수 있다. 메타쉐콰이어길이나 정안천 등 주변 관광지나 맛집과도 가깝게 위치해 있어서 여행하기에도 좋은 공간이다..✔ 더 많은 공주숙소는 #감성숙소_공주✔ 더 많은 충청남도숙소는 #감성숙소_충청남도..#충청남도 #공주 #한적한가- - - - - - - - - - - - - - - - - - - - - - - - - - - - - -📍한적한가📍충남 공주시 한적2길 47-25📍예약 사이트 참고- - - - - - - - - - - - - - - - - - - - - - - - - - - - - -Contents by Insta. gamsung_curationImage source.insta by @jeongbarbieinsta by @mood.moment_ insta by @hanjeok_stayinsta by @1san_foodie insta by @mi_jaruublog by @mi_jaruu.#공주여행 #공주펜션 #공주숙소 #공주독채펜션 #충남펜션 #충남여행 #충남독채펜션 #충남숙소 #감성숙소 #독채펜션 #에어비앤비 #대전근교여행 #한적한나 #신상펜션 #감성펜션",2021-06-04,0,충남 공주시,"['#공주_한적한가..작은', '#감성숙소_공주✔', '#감성숙소_충청남도..', '#충청남도', '#공주', '#한적한가-', '#공주여행', '#공주펜션', '#공주숙소', '#공주독채펜션', '#충남펜션', '#충남여행', '#충남독채펜션', '#충남숙소', '#감성숙소', '#독채펜션', '#에어비앤비', '#대전근교여행', '#한적한나', '#신상펜션', '#감성펜션']"
3,사랑나무💛⠀동화같은 나무 아래에서예쁜 노을이 펼쳐지던 곳🌈⠀하트 반쪽짜리 나무를 찍고 좌우반전해서합치면 꽉찬 하트를 만들 수 있답니다💜⠀일몰시간 30분 전에는 가셔서산너머 해가 지는 모습도 꼭 보세요 !⠀📍성흥산성 사랑나무- 충남 부여군 임천면 군사리 산 1-1- 주차 후 도보 10분 거리🚗,2021-06-08,0,성흥산성 사랑나무,[]
4,[EVENT] 나의 최애 충남 여행지는 어디⁉⠀충남을 여행해 봤다면 누구나 참여할 수 있는 이벤트!다녀온 충남 여행지를 평가해주세요! ✍️⠀응답 결과를 바탕으로'관광객이 뽑은 충남관광 100선'을 선정합니다!( ◡̉̈ ) ♡⠀설문에 참여해주신 분들 중 추첨을 통해200분께 스타벅스 아메리카노를 드려요!⠀✔프로필 상단 링크 누르고 참여하기!⠀📣여러 여행지에 대해 응답하면 당첨확률 UP!📣여러분의 추천이 충남관광 100선을 만듭니다※이벤트 기간이 잘못 표기되어 기존 게시물 삭제 후 재업로드 되었습니다.⠀⠀#충남어디까지가봤니 #이벤트 #충남여행 #충남 #충청남도 #국내여행 #설문조사,2021-06-07,0,,"['#충남어디까지가봤니', '#이벤트', '#충남여행', '#충남', '#충청남도', '#국내여행', '#설문조사']"
5,"#1일1카페 .한옥에서 정성스럽게 만든 커피와 디저트 카페충남 공주에 위치한 카페 금성동 입니다 ☕햇살 맛집이에요 ✨⠀⠀⠀📋시그니처 메뉴-드립커피 4.0-카페라떼 4.5⠀#카페금성동 #공주카페 - - - - - - - - - - - - - - - - - - - - -📍카페금성동(@cafe_geumseongdong)📍충남 공주시 정자방1길 31 1층📍매일 12:00 - 21:00 / 화, 수요일 휴무- - - - - - - - - - - - - - - - - - - - -⠀insta by. @iam_myo⠀☕1일 1커피 하고 싶은 날엔 #1일1캎 @1day1cafe_ ☕더 많은 공주 카페 정보는 #1일1캎_공주⠀⠀✔카페정보👉🏻 @1day1cafe_ ✔여행정보👉🏻 @travelmenu1✔숙소정보👉🏻 @travelmenu_stay",2021-06-06,0,충남 공주시,"['#1일1카페', '#카페금성동', '#공주카페', '#1일1캎', '#1일1캎_공주⠀⠀✔카페정보👉🏻']"
6,.👤👥👤👥...웅성웅성... 👥👤👥👤...수국수국...👥👤👥...뭐야..👥👥👥 아직도 수국 안본애들 있대.......👥👥👥👤...웅성웅성....👤👤👥👥👤..수국수국...👤👤👥👥👤...⠀💚💙충남 수국수국스팟💙💚누가 자꾸 수국수국대? 당장 가쟈!⠀#충남어디까지가봤니 #충남여행 #충청남도 #국내여행#수국스팟 #삼선산수목원 #팜카밀레 #유구색동수국정원#당진 #태안 #공주 #아미미술관 #데이트코스#데이트추천 #소통 #좋아요,2021-06-09,0,,"['#충남어디까지가봤니', '#충남여행', '#충청남도', '#국내여행', '#수국스팟', '#삼선산수목원', '#팜카밀레', '#유구색동수국정원', '#당진', '#태안', '#공주', '#아미미술관', '#데이트코스', '#데이트추천', '#소통', '#좋아요']"
7,"스토리 올렸더니 문의 폭주한 장소❤️어딘지 알려드릴게요!!저희가 감사하게도 첫 손님으로 다녀왔는데진짜 진심 여태껏 다녀온 숙소 중에 단연코 1등이라고 뽑을 수 있는 곳👍🏻숙소 이름은 바로바로 #선셋파머스 입니다❤️좋았던 부분이 넘 많아서 뭐부터 알려드려야 할지 모르겠네요🤣애견 동반 가능한 단독 주택이에요🐶주위에 다른 집도 없고 지나다니는 차도 없어서 마음껏 풀어놓을 수 있었어요◡̈ 집 뒤로는 물놀이 할 수 있는 계곡이 있는데수심이 발목까지 오는 곳부터 성인 가슴 정도인 깊은 곳까지 다양하게 있어요여름에 오면 계곡을 전세낸 것 처럼 놀 수 있어요다양한 나무들과 식물들이 있어요체리나무, 복숭아나무, 밤나무, 옥수수, 각종 쌈 채소, 양상추, 취나물 등등 시기 맞춰 가시면 다양한 제철 음식,과일을 체험해 볼 수 있어요지금은 체리 철이라 체리 나무에서 체리도 따 먹고 길가엔 산딸기도 많아서 산딸기도 따먹었어요🍒🍓집 앞마당엔 텐트 피칭도 가능해요우트가르드 설치하고 사진도 찍고 놀았네요⛺️그 외에 큰 방방이도 있고 집안엔 오락실 게임기도 있어요꼬꼬닭이 낳은 유정란도 있고요🥚아, 밤에 수많은 별은 물론 반딧불도 볼 수 있어요⭐️ 조용한 힐링을 원하는 커플,아이가 있는 가족이 가면 더 좋을 숙소가족 인원 제한도 완화된 만큼두 가족, 세 가족이 가도 충분한 숙소에요◡̈ 단점이 하나 있다면 산속에 있는 숙소라편의점까지 차로 20분정도 걸리더라구용🤣단독 계곡있고 이정도 놀거리가 많은데평일엔 10만원대, 성수기 주말이어도 20만원대인 숙소 없잖아요?🤭에어비엔비에 충남 금산군 으로 검색하면 금방 나오더라고요😊@sunset_farmers 인스타 계정도 있어요찐으로 너무 좋아서 나만 알고 싶은 숙소지만사장님부부가 너무 좋은 분이셔서왕창 대박나시라고 공유합니다!!! ❤️먼저 예약하는 사람이 승자.... 진심....#금산숙소 #금산펜션 #에어비엔비",2021-05-30,0,선셋파머스,"['#선셋파머스', '#금산숙소', '#금산펜션', '#에어비엔비']"
8,"에메랄드빛 호수, 봄의 연두빛 어린 나무와 호수에 비친 반영이너무나 아름다운 공주 불장골 저수지 & 카페 엔학고레호수를 전세라도 낸 듯호수의 가장 아름다운 전경이 내다보이는 통창 건물의 콘트리트 카페 #엔학고레 는 가히 뷰맛집으로 불리울 만 하다. 카페를 방문한다면 주말에는 많은 인파와 웨이팅을 감수해야 하는곳 😮싱그러운 연두 빛 나뭇잎의 은은한 아름다움으로 가는 봄의 아쉬움을 달래본다. 충청남도 공주시 반포면 송곡리 산21-6전용 주차 공간",2021-05-16,0,엔학고레,['#엔학고레']
9,"[롯데리조트X대한민국테마여행10선]집콕여행꾸러미 𝑷𝒂𝒄𝒌𝒂𝒈𝒆⠀롯데리조트가 대한민국 테마여행 10선과 함께 여행지의 느낌을 고스란히 담은⠀집콕여행꾸러미 시리즈, #빵삼킨밤 🌰을 롯데리조트부여 디럭스룸과 함께 선보입니다.부여 백제 야경 무드등, 대전 성심당 스콘,익산 햇살 연잎차, 공주 알밤잼 등⠀지역 고유의 맛과 멋을 담은집콕여행꾸러미 패키지로 여행의즐거웠던 기억들을 간직해보세요!",2021-06-18,0,부여 롯데리조트,['#빵삼킨밤']
