시도,군구,관광지,내/외국인,총계(2019.05 ~ 2019.06),2019년,2019년 05월,2019년 06월
,,,,,인원계,,
충청남도,천안시,각원사,내국인,"23,046","23,046","14,322","8,724"
충청남도,천안시,각원사,합계,"23,046","23,046","14,322","8,724"
충청남도,천안시,광덕산,내국인,"46,741","46,741","25,447","21,294"
충청남도,천안시,광덕산,합계,"46,741","46,741","25,447","21,294"
충청남도,천안시,대명리조트 천안,내국인,"47,251","47,251","22,639","24,612"
충청남도,천안시,대명리조트 천안,외국인,94,94,61,33
충청남도,천안시,대명리조트 천안,합계,"47,345","47,345","22,700","24,645"
충청남도,천안시,독립기념관,내국인,"354,903","354,903","226,442","128,461"
충청남도,천안시,독립기념관,외국인,"2,975","2,975","1,919","1,056"
충청남도,천안시,독립기념관,합계,"357,878","357,878","228,361","129,517"
충청남도,천안시,유관순열사 생가,내국인,"17,948","17,948","9,855","8,093"
충청남도,천안시,유관순열사 생가,합계,"17,948","17,948","9,855","8,093"
충청남도,천안시,유관순열사사적지,내국인,"25,012","25,012","14,976","10,036"
충청남도,천안시,유관순열사사적지,합계,"25,012","25,012","14,976","10,036"
충청남도,천안시,천안박물관,내국인,"32,140","32,140","16,801","15,339"
충청남도,천안시,천안박물관,합계,"32,140","32,140","16,801","15,339"
충청남도,천안시,천안상록리조트,내국인,"155,815","155,815","76,893","78,922"
충청남도,천안시,천안상록리조트,합계,"155,815","155,815","76,893","78,922"
충청남도,천안시,천안예술의전당,내국인,"51,918","51,918","28,603","23,315"
충청남도,천안시,천안예술의전당,합계,"51,918","51,918","28,603","23,315"
충청남도,천안시,천안홍대용과학관,내국인,"16,780","16,780","9,043","7,737"
충청남도,천안시,천안홍대용과학관,합계,"16,780","16,780","9,043","7,737"
충청남도,천안시,태학산자연휴양림,내국인,"20,122","20,122","10,835","9,287"
충청남도,천안시,태학산자연휴양림,합계,"20,122","20,122","10,835","9,287"
충청남도,공주시,계룡산국립공원(갑사),내국인,"20,355","20,355","10,978","9,377"
충청남도,공주시,계룡산국립공원(갑사),외국인,111,111,75,36
충청남도,공주시,계룡산국립공원(갑사),합계,"20,466","20,466","11,053","9,413"
충청남도,공주시,계룡산국립공원(동학사),내국인,"107,898","107,898","58,361","49,537"
충청남도,공주시,계룡산국립공원(동학사),외국인,100,100,73,27
충청남도,공주시,계룡산국립공원(동학사),합계,"107,998","107,998","58,434","49,564"
충청남도,공주시,계룡산국립공원(병사골),내국인,"1,979","1,979","1,022",957
충청남도,공주시,계룡산국립공원(병사골),합계,"1,979","1,979","1,022",957
충청남도,공주시,계룡산국립공원(상신),내국인,"9,025","9,025","5,511","3,514"
충청남도,공주시,계룡산국립공원(상신),합계,"9,025","9,025","5,511","3,514"
충청남도,공주시,계룡산국립공원(신원사),내국인,"12,816","12,816","6,778","6,038"
충청남도,공주시,계룡산국립공원(신원사),외국인,0,0,0,0
충청남도,공주시,계룡산국립공원(신원사),합계,"12,816","12,816","6,778","6,038"
충청남도,공주시,계룡산국립공원(지석골),내국인,"2,282","2,282","1,112","1,170"
충청남도,공주시,계룡산국립공원(지석골),합계,"2,282","2,282","1,112","1,170"
충청남도,공주시,계룡산국립공원(천정),내국인,"15,989","15,989","11,246","4,743"
충청남도,공주시,계룡산국립공원(천정),합계,"15,989","15,989","11,246","4,743"
충청남도,공주시,골드리버CC,내국인,"9,383","9,383","4,921","4,462"
충청남도,공주시,골드리버CC,합계,"9,383","9,383","4,921","4,462"
충청남도,공주시,공산성,내국인,"56,130","56,130","33,246","22,884"
충청남도,공주시,공산성,외국인,866,866,307,559
충청남도,공주시,공산성,합계,"56,996","56,996","33,553","23,443"
충청남도,공주시,공주 한옥마을,내국인,"15,203","15,203","8,135","7,068"
충청남도,공주시,공주 한옥마을,외국인,244,244,124,120
충청남도,공주시,공주 한옥마을,합계,"15,447","15,447","8,259","7,188"
충청남도,공주시,공주산림휴양마을 목재체험관,내국인,"18,934","18,934","9,571","9,363"
충청남도,공주시,공주산림휴양마을 목재체험관,합계,"18,934","18,934","9,571","9,363"
충청남도,공주시,국립공주박물관,내국인,"156,934","156,934","109,298","47,636"
충청남도,공주시,국립공주박물관,외국인,"1,386","1,386",726,660
충청남도,공주시,국립공주박물관,합계,"158,320","158,320","110,024","48,296"
충청남도,공주시,마곡사,내국인,"47,323","47,323","22,579","24,744"
충청남도,공주시,마곡사,외국인,0,0,0,0
충청남도,공주시,마곡사,합계,"47,323","47,323","22,579","24,744"
충청남도,공주시,석장리박물관,내국인,"170,169","170,169","161,142","9,027"
충청남도,공주시,석장리박물관,외국인,0,0,0,0
충청남도,공주시,석장리박물관,합계,"170,169","170,169","161,142","9,027"
