시도,군구,관광지,내/외국인,총계(2019.05 ~ 2019.06),2019년,2019년 05월,2019년 06월
,,,,,인원계,,
충청북도,청주시,국립청주박물관,내국인,"116,887","116,887","84,404","32,483"
충청북도,청주시,국립청주박물관,외국인,153,153,89,64
충청북도,청주시,국립청주박물관,합계,"117,040","117,040","84,493","32,547"
충청북도,청주시,국립현대미술관 청주,내국인,"20,859","20,859","11,960","8,899"
충청북도,청주시,국립현대미술관 청주,외국인,117,117,72,45
충청북도,청주시,국립현대미술관 청주,합계,"20,976","20,976","12,032","8,944"
충청북도,청주시,문암생태공원 캠핑장,내국인,"4,852","4,852","2,427","2,425"
충청북도,청주시,문암생태공원 캠핑장,합계,"4,852","4,852","2,427","2,425"
충청북도,청주시,문의문화재단지,내국인,"17,403","17,403","11,292","6,111"
충청북도,청주시,문의문화재단지,외국인,44,44,28,16
충청북도,청주시,문의문화재단지,합계,"17,447","17,447","11,320","6,127"
충청북도,청주시,상당산성 자연휴양림,내국인,"10,813","10,813","5,343","5,470"
충청북도,청주시,상당산성 자연휴양림,외국인,0,0,0,0
충청북도,청주시,상당산성 자연휴양림,합계,"10,813","10,813","5,343","5,470"
충청북도,청주시,상수허브랜드,내국인,"15,236","15,236","8,032","7,204"
충청북도,청주시,상수허브랜드,외국인,"7,084","7,084","3,259","3,825"
충청북도,청주시,상수허브랜드,합계,"22,320","22,320","11,291","11,029"
충청북도,청주시,옥화자연휴양림,내국인,"9,950","9,950","4,010","5,940"
충청북도,청주시,옥화자연휴양림,합계,"9,950","9,950","4,010","5,940"
충청북도,청주시,우암어린이회관,내국인,"108,290","108,290","65,217","43,073"
충청북도,청주시,우암어린이회관,외국인,0,0,0,0
충청북도,청주시,우암어린이회관,합계,"108,290","108,290","65,217","43,073"
충청북도,청주시,청남대,내국인,"205,552","205,552","140,753","64,799"
충청북도,청주시,청남대,외국인,465,465,243,222
충청북도,청주시,청남대,합계,"206,017","206,017","140,996","65,021"
충청북도,청주시,청주고인쇄박물관,내국인,"35,675","35,675","21,042","14,633"
충청북도,청주시,청주고인쇄박물관,외국인,"3,372","3,372","1,262","2,110"
충청북도,청주시,청주고인쇄박물관,합계,"39,047","39,047","22,304","16,743"
충청북도,청주시,청주동물원,내국인,"67,503","67,503","36,608","30,895"
