주제,통검
4/1,3.92156
4/2,1.56862
4/3,6.2745
4/4,3.92156
4/5,2.74509
4/6,5.49019
4/7,8.23529
4/8,0.78431
4/9,4.31372
4/10,2.74509
4/11,6.2745
4/12,6.66666
4/13,6.66666
4/14,7.05882
4/15,5.09803
4/16,2.35294
4/17,5.09803
4/18,2.35294
4/19,8.23529
4/20,7.84313
4/21,9.80392
4/22,8.62745
4/23,14.90196
4/24,11.37254
4/25,12.54901
4/26,17.64705
4/27,16.47058
4/28,10.98039
4/29,9.80392
4/30,15.29411
5/1,11.7647
5/2,14.5098
5/3,16.07843
5/4,12.15686
5/5,14.11764
5/6,18.03921
5/7,9.80392
5/8,10.58823
5/9,17.2549
5/10,21.56862
5/11,21.17647
5/12,27.45098
5/13,27.84313
5/14,18.82352
5/15,23.13725
5/16,27.84313
5/17,28.23529
5/18,24.31372
5/19,20.39215
5/20,29.0196
5/21,19.60784
5/22,33.33333
5/23,41.17647
5/24,47.05882
5/25,41.17647
5/26,41.56862
5/27,34.5098
5/28,32.94117
5/29,39.21568
5/30,63.92156
5/31,63.52941
6/1,67.05882
6/2,67.84313
6/3,53.72549
6/4,47.84313
6/5,67.45098
6/6,58.43137
6/7,74.11764
6/8,74.90196
6/9,77.2549
6/10,65.49019
6/11,50.98039
6/12,54.90196
6/13,63.52941
6/14,75.68627
6/15,100
